id,followers_count,following_count,tweet_count,listed_count,name_length,username_length,description_length,verified,protected,ff_ratio,label
u1250078874,16858,13273,3039,85,14,9,114,1,0,1.2700971897837716,0
u14996270,21167,12461,66147,673,13,8,128,0,0,1.6986598186341386,0
u416612298,239,126,499,4,15,13,99,0,0,1.8968253968253967,0
u122450304,294,1702,9897,21,3,10,81,0,0,0.172737955346651,0
u557230438,1241,857,63387,93,27,9,140,0,0,1.4480746791131855,0
u102754247,125,158,367,5,11,10,0,0,0,0.7911392405063291,0
u116260753,361112,647,6048,1635,14,12,57,1,0,558.1329211746522,0
u3000657923,160,213,693,5,12,14,128,0,0,0.7511737089201878,0
u28067239,414,860,9101,11,14,14,108,0,0,0.4813953488372093,0
u22442229,283,357,10156,5,6,14,144,0,0,0.7927170868347339,0
u40813848,507,206,21394,39,10,9,153,0,0,2.4611650485436893,0
u48924617,1240,1275,7321,49,14,10,136,0,0,0.9725490196078431,0
u882713868,231,493,2896,5,5,6,41,0,0,0.4685598377281947,0
u897152104380350466,777,219,929,2,20,8,99,0,0,3.547945205479452,0
u182752945,1401,3794,144144,132,13,14,88,0,0,0.36926726410121247,0
u33952399,860,768,1444,20,11,15,106,0,0,1.1197916666666667,0
u38664964,1094,2125,16426,19,16,15,123,0,0,0.5148235294117647,0
u1645577250,57,453,44,0,15,10,0,0,0,0.12582781456953643,0
u430855833,1555,955,3561,60,15,14,133,0,0,1.6282722513089005,0
u268404934,88,235,7945,4,12,9,134,0,0,0.37446808510638296,0
u206593863,1884,1177,11099,71,18,7,109,0,0,1.600679694137638,0
u21946201,477,594,22882,58,14,7,73,0,0,0.803030303030303,0
u3589118538,378,416,6386,2,14,10,41,0,0,0.9086538461538461,0
u428535264,162,189,1692,0,18,10,114,0,0,0.8571428571428571,0
u2897172830,40,153,1058,0,8,11,150,0,0,0.26143790849673204,0
u601310354,841,423,10091,26,8,10,61,0,0,1.988179669030733,0
u551251327,1840,28,2200,15,15,13,88,0,0,65.71428571428571,0
u2380871126,14058,13400,5561,9,13,12,160,0,0,1.0491044776119403,0
u243935801,646,911,39098,9,17,8,150,0,0,0.7091108671789242,0
u50852352,1158,1866,10481,73,13,9,147,0,0,0.6205787781350482,0
u734015621885661186,9365,1221,1263,21,16,14,149,0,0,7.66994266994267,0
u1351931792,1747,378,588,46,11,11,100,0,0,4.621693121693122,0
u18322280,5464,1212,3073,176,14,13,29,1,0,4.508250825082508,0
u4893000279,82,93,353,0,4,11,5,0,0,0.8817204301075269,0
u188091891,125,373,801,0,14,15,141,0,0,0.3351206434316354,0
u3817441519,7250,499,4789,20,15,13,116,0,0,14.529058116232465,0
u21839895,1319,1778,11216,25,16,8,160,0,0,0.7418447694038245,0
u192567894,745,590,27855,80,3,9,92,0,0,1.2627118644067796,0
u2970246239,43338,1406,638,45,19,10,0,0,0,30.823613086770983,0
u26317512,1785,1232,1665,99,16,15,159,0,0,1.4488636363636365,0
u359867650,77,108,3229,0,4,10,57,0,0,0.7129629629629629,0
u789969215650422784,18605,383,33982,69,9,14,135,0,0,48.577023498694516,0
u254255259,570,1163,33649,44,19,9,159,0,0,0.4901117798796217,0
u48048580,127475,1340,5589,262,17,15,152,1,0,95.13059701492537,0
u52426848,364,388,4102,53,9,9,138,0,0,0.9381443298969072,0
u99580679,5443,5957,90105,280,8,7,19,0,0,0.913714957193218,0
u2909550867,36,77,853,0,12,13,52,0,0,0.4675324675324675,0
u2812423360,335,319,1576,0,6,11,63,0,0,1.0501567398119123,0
u14613023,2421,361,21108,90,10,10,109,0,0,6.706371191135734,0
u903846161529884672,928,867,20899,2,14,15,153,0,0,1.0703575547866204,0
u635056358,1046,1904,18279,32,21,14,156,0,0,0.5493697478991597,0
u880821517709434882,971,1143,3859,0,14,10,79,0,0,0.8495188101487314,0
u572429251,309,383,1061,9,14,9,131,0,0,0.8067885117493473,0
u439716943,162,107,3878,0,15,13,96,0,0,1.514018691588785,0
u31916807,118,236,1763,2,5,12,64,0,0,0.5,0
u588216931,141,87,7563,0,9,10,108,0,0,1.6206896551724137,0
u2711437753,550,439,8236,3,4,11,72,0,0,1.2528473804100229,0
u826620505050509312,77,751,2898,0,5,12,114,0,0,0.10252996005326231,0
u15889436,932,884,8647,45,9,9,101,0,0,1.0542986425339367,0
u15228408,178,288,7601,6,28,11,113,0,0,0.6180555555555556,0
u4778832029,415,628,3926,4,17,7,151,0,0,0.660828025477707,0
u826425161234649088,85,251,7244,1,14,15,0,0,0,0.3386454183266932,0
u3851302212,592,416,3814,22,19,15,155,0,0,1.4230769230769231,0
u823328936,192,210,2293,1,14,10,160,0,0,0.9142857142857143,0
u190207751,621,1304,2712,32,13,13,94,0,0,0.4762269938650307,0
u726490231592095745,200,201,3011,6,15,11,155,0,0,0.9950248756218906,0
u18870777,663,366,23530,8,22,14,109,0,0,1.8114754098360655,0
u165632235,97,439,2115,5,15,11,52,0,0,0.22095671981776766,0
u904223899537301504,2384,424,13799,79,15,11,44,0,0,5.622641509433962,0
u918135944405958656,315,279,912,6,20,14,0,0,0,1.1290322580645162,0
u1252406173,1556,1519,1261,65,16,13,118,0,0,1.0243581303489138,0
u17049057,15959,1269,22070,234,16,15,151,1,0,12.576044129235619,0
u533790045,7252,697,5143,56,12,11,132,0,0,10.404591104734576,0
u136049704,88,250,2532,5,9,9,111,0,0,0.352,0
u146142261,409,146,9216,1,3,8,25,0,0,2.8013698630136985,0
u753822597830148096,1165,710,2607,10,27,13,158,0,0,1.6408450704225352,0
u981755967300751360,11097,11443,56952,16,12,11,27,0,0,0.9697631739928341,0
u854831243384545281,107,254,2582,1,7,10,14,0,0,0.421259842519685,0
u16290626,112,257,33801,21,8,8,40,0,0,0.4357976653696498,0
u825948134,3126,817,1708,114,11,14,121,1,0,3.826193390452876,0
u2522427429,49,249,257,0,12,8,79,0,0,0.19678714859437751,0
u749070163073310721,366,329,301,3,22,12,101,0,0,1.1124620060790273,0
u825859965005000706,292,143,8054,1,5,14,94,0,0,2.041958041958042,0
u1547145732,209,221,741,13,11,12,114,0,0,0.9457013574660633,0
u527542126,1247,860,23141,1,8,11,9,0,0,1.45,0
u19926982,77,275,4119,10,5,10,57,0,0,0.28,0
u892044002010312704,24,159,507,0,15,12,149,0,0,0.1509433962264151,0
u54135314,43,186,1603,2,11,11,131,0,0,0.23118279569892472,0
u32259939,2061,3366,108388,104,10,9,159,0,0,0.6122994652406417,0
u2829218024,759,2006,323,1,19,15,76,0,0,0.37836490528414757,0
u219548023,337,279,49675,1,5,13,55,0,0,1.2078853046594982,0
u152062468,815,891,27432,59,7,14,160,0,0,0.9147025813692481,0
u971149455008370689,40,3,288,2,21,11,150,0,0,13.333333333333334,0
u2344082977,43,249,1642,2,14,8,21,0,0,0.17269076305220885,0
u4653161194,60,252,779,1,14,12,93,0,0,0.23809523809523808,0
u22558759,23126,1276,12094,303,12,12,132,1,0,18.12382445141066,0
u2573208707,592,706,17730,14,8,13,147,0,0,0.8385269121813032,0
u759557618700587008,120,271,422,4,9,9,151,0,0,0.44280442804428044,0
u2836238341,278,162,102,0,10,10,70,0,0,1.7160493827160495,0
u1130063317,293,251,13859,3,9,13,84,0,0,1.1673306772908367,0
u2802227786,55,254,2157,6,11,9,114,0,0,0.21653543307086615,0
u473575652,1233,1356,60162,36,11,8,160,0,0,0.9092920353982301,0
u38857323,173,44,1386,1,11,12,0,0,0,3.9318181818181817,0
u1661667084,69,303,806,2,11,11,59,0,0,0.22772277227722773,0
u2824164481,200,294,4566,22,10,7,150,0,0,0.6802721088435374,0
u862715543429799937,16,96,28,0,14,6,37,0,0,0.16666666666666666,0
u27279989,45587,45463,7544,178,12,10,160,1,0,1.0027274926863603,0
u2773678921,291,242,2368,7,12,11,126,0,0,1.2024793388429753,0
u344310591,90,295,7647,5,5,13,142,0,0,0.3050847457627119,0
u2317853389,1973,754,75313,20,6,13,78,0,0,2.616710875331565,0
u2385906926,132,150,7896,5,8,9,46,0,0,0.88,0
u1368455522,575,599,29382,107,16,8,153,0,0,0.9599332220367279,0
u403864702,532,1281,25760,13,4,6,62,0,0,0.41530054644808745,0
u2357303431,1363,2605,129336,42,6,15,111,0,0,0.5232245681381957,0
u31433640,61,639,4972,3,15,14,26,0,0,0.09546165884194054,0
u14197352,1762,1466,18858,182,15,9,86,0,0,1.2019099590723057,0
u16302990,7,56,73,0,19,14,69,0,0,0.125,0
u149282848,38249,259,9577,418,13,12,77,1,0,147.67953667953668,0
u2434731782,73,365,1808,1,19,13,34,0,0,0.2,0
u127304498,229,358,15403,1,10,14,116,0,0,0.6396648044692738,0
u563264825,48,53,847,0,16,12,88,0,0,0.9056603773584906,0
u3080670196,192,126,3741,4,8,9,145,0,0,1.5238095238095237,0
u1400298594,597,2123,509,14,12,14,113,0,0,0.28120584079133304,0
u360147716,429,495,5971,3,8,10,120,0,0,0.8666666666666667,0
u987807377863925761,143,299,429,1,17,15,142,0,0,0.4782608695652174,0
u2351903227,1839,900,2898,62,19,10,119,0,0,2.0433333333333334,0
u788431531341672448,583,752,22485,16,9,9,45,0,0,0.7752659574468085,0
u15756281,140,255,13832,5,11,14,20,0,0,0.5490196078431373,0
u21632108,28089,141,10288,487,17,11,125,1,0,199.2127659574468,0
u17741202,6230,5864,74334,230,10,9,152,0,0,1.0624147339699863,0
u3020660269,18,67,356,1,14,13,63,0,0,0.26865671641791045,0
u4541336233,4014,1001,5543,36,18,14,141,0,0,4.00999000999001,0
u302852345,66,211,5980,0,11,14,107,0,0,0.3127962085308057,0
u12305202,3582,1651,7189,63,12,12,159,1,0,2.1695941853422167,0
u91287883,122,420,14343,2,9,7,42,0,0,0.2904761904761905,0
u286476728,21055,2092,10415,286,11,14,112,1,0,10.06453154875717,0
u2896560034,5898,4556,60657,63,17,15,160,0,0,1.294556628621598,0
u2350984508,17364,2937,9833,323,15,14,155,0,0,5.912155260469867,0
u300948695,1308,1060,6077,36,13,12,140,0,0,1.2339622641509433,0
u37514003,1138,1036,14055,29,6,10,147,0,0,1.0984555984555984,0
u964535737461936131,533,625,3228,3,10,7,134,0,0,0.8528,0
u19051166,313948,8616,26472,1367,11,10,137,1,0,36.43779015784587,0
u921390494747258880,189,750,1324,0,8,9,144,0,0,0.252,0
u28236043,105,408,4225,4,21,14,22,0,0,0.25735294117647056,0
u4808719518,13,89,47,0,15,14,0,0,0,0.14606741573033707,0
u291473760,1005,1048,84712,54,18,12,145,0,0,0.958969465648855,0
u50537198,254,1337,3392,16,14,13,103,0,0,0.18997756170531038,0
u393743257,483,507,3550,47,18,12,138,0,0,0.9526627218934911,0
u838837214951911424,8162,2009,30474,44,26,6,157,0,0,4.062717770034843,0
u1041616501588017153,16,83,5,0,20,13,75,0,0,0.1927710843373494,0
u22961141,166,145,4641,14,7,8,37,0,0,1.1448275862068966,0
u33660467,538,4391,3725,7,5,6,150,0,0,0.1225233432020041,0
u14421107,115,494,6455,16,11,6,116,0,0,0.23279352226720648,0
u17204519,13082,12732,20160,1333,11,10,86,0,0,1.0274897895067547,0
u726294419675189248,12803,13022,4938,333,14,13,154,0,0,0.9831823068653048,0
u81902831,968,1800,4647,58,14,13,147,0,0,0.5377777777777778,0
u269461093,416,284,3049,4,15,15,107,0,0,1.4647887323943662,0
u77938670,1131,727,969,49,12,12,108,0,0,1.5557083906464924,0
u40123184,1022,1398,63546,20,13,12,160,0,0,0.7310443490701002,0
u7898552,631,1403,19239,33,8,11,100,0,0,0.44975053456878117,0
u328624072,710,648,735,15,18,13,152,0,0,1.095679012345679,0
u25728346,94,612,1654,0,14,13,107,0,0,0.15359477124183007,0
u3020960979,2,17,35,0,13,8,47,0,0,0.11764705882352941,0
u890225318,36,179,273,1,14,14,105,0,0,0.2011173184357542,0
u816907406,364,798,17107,6,26,9,156,0,0,0.45614035087719296,0
u587065841,543,373,1948,21,13,12,117,0,0,1.4557640750670242,0
u4810276190,31,7,536,3,9,12,0,0,0,4.428571428571429,0
u4257748887,516,467,1515,1,12,13,128,0,0,1.1049250535331905,0
u3246396084,114,200,182,4,18,9,0,0,0,0.57,0
u196452940,1758,737,11526,138,14,15,160,0,0,2.385345997286296,0
u975445200020672512,913,799,1711,6,6,14,144,0,0,1.1426783479349187,0
u1021918737040134144,473,623,2725,0,11,12,0,0,0,0.7592295345104334,0
u34534976,2491,641,19820,36,15,8,147,0,0,3.8861154446177846,0
u825027571817418752,405,411,2366,4,15,15,154,0,0,0.9854014598540146,0
u1041291224,195,310,5384,2,4,10,27,0,0,0.6290322580645161,0
u836946931167473665,293,294,1689,0,31,9,32,0,0,0.9965986394557823,0
u11957802,11208,6295,13127,842,14,8,151,0,0,1.780460683081811,0
u22765402,59,236,3824,0,16,9,0,0,0,0.25,0
u872826012794585089,17,98,79,0,12,8,27,0,0,0.17346938775510204,0
u61286865,215,951,10170,32,43,13,51,0,0,0.22607781282860148,0
u3154939975,34,68,209,0,15,15,0,0,0,0.5,0
u977324578933493763,165,139,96,5,3,14,115,0,0,1.1870503597122302,0
u1021850131719745536,7,65,37,0,19,15,0,0,0,0.1076923076923077,0
u601648078,13,42,367,0,13,11,0,0,0,0.30952380952380953,0
u883022923,12585,10922,49615,184,9,11,158,0,0,1.1522614905694928,0
u81968042,937,430,6021,36,10,11,160,0,0,2.1790697674418604,0
u1551747528,448,125,4694,12,12,13,152,0,0,3.584,0
u783402020917182465,996,1076,5599,20,21,14,35,0,0,0.9256505576208178,0
u884193109969711104,2419,4942,11619,2,27,15,145,0,0,0.4894779441521651,0
u65327428,97,305,4545,5,18,15,53,0,0,0.3180327868852459,0
u523382591,1251,1612,11080,42,12,11,61,0,0,0.7760545905707196,0
u797851820932599809,727,901,25476,12,11,13,150,0,0,0.806881243063263,0
u552035080,511,455,8072,19,7,8,159,0,0,1.123076923076923,0
u917211345057189888,28238,589,1235,61,13,14,110,0,0,47.94227504244482,0
u964119024543195137,106,142,198,1,21,14,159,0,0,0.7464788732394366,0
u1545355862,25,129,458,0,10,10,52,0,0,0.1937984496124031,0
u96233466,5773,51,208751,46,9,10,47,0,0,113.19607843137256,0
u629745694,220,928,1405,0,3,15,49,0,0,0.23706896551724138,0
u480502256,1747,734,394523,129,6,12,53,0,0,2.380108991825613,0
u193098444,1904,1615,4959,25,13,6,157,0,0,1.1789473684210525,0
u463198777,229,662,1380,0,14,10,76,0,0,0.3459214501510574,0
u33700291,894,798,1687,27,23,5,158,0,0,1.1203007518796992,0
u123655290,36768,377,7001,303,13,12,95,1,0,97.52785145888595,0
u362228368,409,269,19628,7,4,9,156,0,0,1.520446096654275,0
u823677572223377409,108,162,3220,3,28,15,98,0,0,0.6666666666666666,0
u874106117886005249,53697,51759,22937,142,22,7,150,0,0,1.0374427635773489,0
u186891739,58,467,59,2,11,11,0,0,0,0.12419700214132762,0
u341285407,1335,3129,43579,74,12,11,156,0,0,0.42665388302972196,0
u1044645962449342465,214,8,527,0,20,12,110,0,0,26.75,0
u61790113,4572,282,8036,53,13,12,121,0,0,16.21276595744681,0
u44969920,328,381,1505,8,14,8,138,0,0,0.8608923884514436,0
u4431861448,433,447,22894,52,11,15,157,0,0,0.9686800894854586,0
u1052543300295688193,21,67,36,0,17,14,117,0,0,0.31343283582089554,0
u2751223395,205,592,450,2,18,6,154,0,0,0.34628378378378377,0
u1055128634837606400,0,16,3,0,13,13,0,0,0,0.0,0
u38749235,45,65,25252,5,4,12,25,0,0,0.6923076923076923,0
u740359693365694465,76,364,2222,3,10,11,0,0,0,0.2087912087912088,0
u732075487,643,1226,2031,31,13,15,105,0,0,0.5244698205546493,0
u42356432,195,481,983,0,7,7,132,0,0,0.40540540540540543,0
u43326045,3768,4366,50925,401,17,7,155,0,0,0.8630325240494732,0
u39005494,590,310,41469,37,10,12,157,0,0,1.903225806451613,0
u47458213,10020,9519,18190,8,26,9,24,0,0,1.0526315789473684,0
u887549758516187136,764,164,173,3,15,15,99,0,0,4.658536585365853,0
u56788547,2467,1712,4895,160,25,12,124,0,0,1.4410046728971964,0
u43375779,778,855,1387,30,18,14,152,0,0,0.9099415204678363,0
u28320551,52,406,4249,1,11,7,29,0,0,0.12807881773399016,0
u370324563,7931,1332,9700,125,11,10,148,0,0,5.9542042042042045,0
u2910037253,2681,4788,1906,212,19,13,136,0,0,0.5599415204678363,0
u823320788,203,389,818,12,5,7,148,0,0,0.5218508997429306,0
u833082541741580288,111,577,697,0,19,13,78,0,0,0.1923743500866551,0
u832048117822296065,2304,627,233,7,6,15,127,0,0,3.674641148325359,0
u1024982204,225,937,645,0,10,8,75,0,0,0.240128068303095,0
u1928275340,11905,559,6182,56,15,15,87,1,0,21.29695885509839,0
u4788593001,145,442,334,3,17,13,159,0,0,0.32805429864253394,0
u3065301110,11619,175,13426,284,18,11,135,0,0,66.39428571428572,0
u856252263920218112,45,442,245,0,15,8,160,0,0,0.10180995475113122,0
u2905685946,327,396,2477,7,2,14,148,0,0,0.8257575757575758,0
u968249584991506432,201,162,2875,4,49,14,118,0,0,1.2407407407407407,0
u2742645675,117,98,57670,7,6,8,92,0,0,1.1938775510204083,0
u613829631,1021,792,1626,8,7,10,48,0,0,1.2891414141414141,0
u2408302171,1043,1627,8662,1,7,9,12,0,0,0.6410571604179471,0
u295300441,509,85,45489,17,16,8,72,0,0,5.988235294117647,0
u2727316980,58,272,295,2,13,12,88,0,0,0.21323529411764705,0
u722937660013084673,83,211,819,0,9,8,65,0,0,0.3933649289099526,0
u268418486,138,173,4274,8,15,14,18,0,0,0.7976878612716763,0
u435096545,157,294,1072,3,11,11,46,0,0,0.5340136054421769,0
u16809525,564,148,2304,39,8,8,57,0,0,3.810810810810811,0
u63411380,876,746,4319,33,9,15,37,0,0,1.1742627345844503,0
u764862582,1464,904,9015,6,14,13,107,0,0,1.6194690265486726,0
u988200281933524993,209,114,7285,6,6,13,26,0,0,1.8333333333333333,0
u261855031,232,771,10158,11,14,15,0,0,0,0.3009079118028534,0
u238601409,270,994,12234,4,11,9,150,0,0,0.2716297786720322,0
u928080772044607493,90,269,764,1,15,13,124,0,0,0.3345724907063197,0
u964256953420697600,280,273,879,7,31,11,146,0,0,1.0256410256410255,0
u3025833323,1689,898,83612,9,17,12,136,0,0,1.8808463251670378,0
u839873757158195200,34,257,385,0,5,7,104,0,0,0.13229571984435798,0
u211380282,115,299,1828,2,3,15,42,0,0,0.38461538461538464,0
u87225523,3770,839,55066,147,14,13,104,1,0,4.493444576877235,0
u547681571,74,170,849,4,11,9,148,0,0,0.43529411764705883,0
u305337856,4422,1427,13471,98,13,14,160,0,0,3.0988086895585143,0
u116839556,299,435,1599,10,11,10,99,0,0,0.6873563218390805,0
u17888932,3666,330,10761,96,14,13,108,0,0,11.10909090909091,0
u328740380,197,476,4818,1,3,9,108,0,0,0.41386554621848737,0
u898292055679668225,771,421,2113,13,12,15,155,0,0,1.831353919239905,0
u3438609785,1872,126,718,13,12,8,97,0,0,14.857142857142858,0
u15858709,138,97,4195,6,14,13,142,0,0,1.422680412371134,0
u804754290,52,59,2103,1,17,12,37,0,0,0.8813559322033898,0
u317520068,190,550,626,4,16,8,117,0,0,0.34545454545454546,0
u542242944,707,806,17860,19,16,12,118,0,0,0.8771712158808933,0
