user_id,followers,following,account_age_days,total_posts,total_retweets,is_bot
user_legit_01862,42396,1052,3010,77,8,False
user_legit_07850,15752,949,495,219,62,False
user_legit_09123,12138,1124,775,378,146,False
user_legit_02340,21175,1070,2915,493,255,False
user_legit_05527,15795,1399,761,312,105,False
user_legit_06743,1824,1161,457,97,29,False
user_legit_04003,22325,549,1912,350,40,False
user_legit_01123,12190,509,1782,134,57,False
user_legit_08709,44625,1463,701,245,121,False
user_legit_04049,22832,1037,3282,137,35,False
user_legit_07640,31647,707,306,448,188,False
user_legit_00765,39017,446,2370,419,227,False
user_legit_02344,29381,286,3210,295,151,False
user_legit_04071,39143,1014,905,338,191,False
user_legit_07216,30627,835,1250,209,59,False
user_legit_04216,24437,1201,2915,154,33,False
user_legit_07952,45476,1749,221,465,224,False
user_legit_05970,37276,1065,3286,301,95,False
user_legit_03350,7959,1827,1246,169,22,False
user_legit_04695,41778,677,1887,89,32,False
user_legit_03399,36094,1523,384,382,76,False
user_legit_04081,14247,755,3078,170,43,False
user_legit_09149,42434,944,1700,97,33,False
user_legit_01224,20848,1697,2977,86,45,False
user_legit_06292,1703,935,2322,337,81,False
user_legit_03122,23580,654,988,21,11,False
user_legit_00510,49729,1310,2320,418,97,False
user_legit_05794,20189,692,2002,22,12,False
user_legit_08181,5056,366,182,184,74,False
user_legit_09417,8376,1177,207,343,45,False
user_legit_00096,11985,1361,1606,390,120,False
user_legit_06681,17013,684,2081,358,24,False
user_legit_01512,37199,71,388,450,176,False
user_legit_08791,21960,1439,2760,196,61,False
user_legit_00119,5735,1162,2471,186,39,False
user_legit_07791,31007,764,3342,140,68,False
user_legit_06517,28270,1681,1411,393,233,False
user_legit_00033,27733,1321,3232,416,209,False
user_legit_07887,30418,80,3052,196,95,False
user_legit_06830,30871,815,774,390,228,False
user_legit_05421,48599,969,2913,457,260,False
user_legit_01068,16688,1896,2408,254,75,False
user_legit_01347,35047,22,715,120,70,False
user_legit_04747,12550,1738,42,332,31,False
user_legit_06005,12250,1806,908,497,162,False
user_legit_06039,11741,1385,763,371,19,False
user_legit_03817,40139,1578,1886,454,140,False
user_legit_08446,24967,1693,2439,134,42,False
user_legit_05269,26053,246,3180,266,94,False
user_legit_06897,16411,901,979,361,199,False
user_legit_05309,22648,1088,2584,134,49,False
user_legit_00031,11369,552,3407,310,144,False
user_legit_05674,24718,1204,3205,64,12,False
user_legit_04386,13018,589,2206,189,80,False
user_legit_00029,22176,882,666,346,175,False
user_legit_04202,17205,1670,3580,462,61,False
user_legit_07507,37568,1201,925,180,49,False
user_legit_00735,33564,1535,2875,356,134,False
user_legit_02067,45355,1733,2625,407,56,False
user_legit_00106,39020,639,136,292,120,False
user_bot_00144,3,2249,7,15,528,True
user_legit_08894,24719,567,2596,124,49,False
user_legit_08020,14316,1825,1598,285,79,False
user_legit_02232,46922,747,845,365,83,False
user_legit_00993,21576,1023,1149,179,29,False
user_legit_09412,40667,1188,3029,17,1,False
user_legit_07058,48371,1583,3251,230,125,False
user_legit_06789,37024,1213,2291,82,33,False
user_legit_00360,42283,1063,1992,477,246,False
user_legit_00304,27145,1781,1119,413,243,False
user_legit_02627,240,808,2573,459,237,False
user_legit_08965,39522,1198,2952,446,38,False
user_legit_04513,45490,1625,3503,141,12,False
user_legit_05910,9830,1542,3412,326,113,False
user_legit_08313,45385,819,3483,187,106,False
user_legit_03100,18281,1635,2458,313,160,False
user_legit_05703,21571,1969,1851,325,164,False
user_legit_03898,15188,1148,1708,299,33,False
user_legit_05440,25849,685,1438,478,128,False
user_legit_07930,16800,1392,743,68,20,False
user_legit_00621,23899,345,1155,258,114,False
user_legit_07235,7995,1516,3459,98,26,False
user_legit_02498,1625,721,1435,349,157,False
user_legit_00713,38198,337,2416,115,21,False
user_legit_08403,40313,1007,1136,465,204,False
user_legit_02855,3881,724,3357,8,4,False
user_legit_04269,25215,1875,1792,230,131,False
user_legit_02908,6388,584,37,378,152,False
user_legit_08080,44765,1607,377,183,42,False
user_legit_04516,17587,514,1035,403,99,False
user_legit_01261,46235,446,3213,6,0,False
user_legit_03160,5935,906,738,296,38,False
user_legit_00970,14940,1192,2763,135,73,False
user_legit_03912,9579,879,3018,268,33,False
user_legit_05198,28427,645,1701,190,10,False
user_legit_08846,12006,535,2457,417,165,False
user_legit_00259,29386,733,2423,246,43,False
user_legit_03790,5609,195,1926,450,150,False
user_legit_09202,16940,862,1771,470,194,False
user_legit_00487,26543,717,2359,446,185,False
user_legit_07907,35748,693,1965,51,5,False
user_legit_00518,23776,1629,2697,425,250,False
user_legit_08342,10025,1336,1235,139,43,False
user_legit_00311,33615,1148,2997,441,221,False
user_legit_03231,10661,724,1833,49,13,False
user_legit_07932,21172,745,3119,136,70,False
user_legit_07457,35483,567,680,437,149,False
user_bot_00283,1,2929,26,19,257,True
user_legit_05183,44657,577,891,202,107,False
user_legit_08076,26630,856,866,497,289,False
user_legit_06501,48568,1123,3329,228,117,False
user_legit_06790,43160,1284,3126,331,170,False
user_legit_07772,28911,1301,2223,181,34,False
user_legit_02737,9431,1727,2545,105,11,False
user_legit_07841,10899,143,1426,368,103,False
user_legit_06261,21345,553,1241,450,50,False
user_legit_08205,27990,279,1560,284,29,False
user_legit_01247,23254,1198,488,288,99,False
user_legit_09335,17023,1476,2762,340,112,False
user_legit_04194,28231,163,1265,178,40,False
user_legit_08000,32297,1044,3356,345,117,False
user_legit_07377,30760,1875,306,196,79,False
user_legit_03434,11777,1721,3490,407,116,False
user_legit_05381,47432,1761,2397,429,40,False
user_legit_00958,48573,192,2892,23,1,False
user_legit_00416,48465,169,2562,452,140,False
user_legit_05741,31076,646,3285,174,19,False
user_legit_06727,29825,1458,610,303,102,False
user_legit_04381,5768,1419,763,147,74,False
user_legit_05196,46837,1130,528,387,208,False
user_legit_01112,9636,84,2416,422,103,False
user_legit_02688,31907,360,69,341,193,False
user_legit_06472,22431,1632,2423,128,17,False
user_legit_08819,8179,820,1351,262,66,False
user_legit_07807,26521,248,2479,171,48,False
user_legit_03410,3561,1970,1562,65,18,False
user_legit_00080,47015,913,628,209,77,False
user_legit_04613,26090,1714,2241,106,54,False
user_legit_01373,21024,1661,2128,261,79,False
user_legit_01509,34166,1751,2533,247,57,False
user_legit_06442,26964,424,814,247,92,False
user_legit_03070,21146,397,959,359,99,False
user_legit_03015,22990,230,2373,32,10,False
user_legit_04822,45432,710,665,373,87,False
user_legit_07821,25570,552,2940,393,162,False
user_legit_00092,42086,1998,1088,236,19,False
user_legit_09420,23516,777,879,257,136,False
user_legit_06599,1333,1387,2335,81,41,False
user_legit_04442,34143,1783,138,467,275,False
user_legit_07601,788,1221,2403,464,198,False
user_legit_03834,7056,1905,2307,369,213,False
user_bot_00201,0,611,22,7,212,True
user_legit_04321,22416,1496,2824,77,14,False
user_legit_03393,9434,1383,90,6,0,False
user_legit_04751,7505,1995,1394,349,53,False
user_legit_07228,45822,766,1859,393,31,False
user_legit_09190,6630,39,2283,193,94,False
user_legit_02360,32437,236,2468,121,16,False
user_legit_01147,38433,91,2926,454,142,False
user_legit_05665,23145,329,2529,212,15,False
user_legit_08074,41053,174,290,175,96,False
user_legit_04942,41866,888,2637,66,4,False
user_legit_03662,48406,1895,3386,35,17,False
user_legit_01562,12431,956,872,425,147,False
user_legit_04112,7573,1527,2586,83,36,False
user_legit_09049,36669,1205,2049,296,167,False
user_legit_09275,34490,1637,3557,80,24,False
user_legit_08537,39656,1425,1247,327,129,False
user_legit_00794,21570,1552,3509,171,88,False
user_legit_05853,34203,538,2385,303,75,False
user_legit_07618,12789,1820,2080,418,192,False
user_legit_01593,961,1943,2706,47,28,False
user_legit_07417,21957,1314,1971,386,54,False
user_legit_05266,27178,419,338,153,41,False
user_legit_07146,44452,1558,3447,232,25,False
user_legit_00088,38394,1009,127,209,44,False
user_legit_08694,22718,242,3482,80,30,False
user_bot_00231,5,3278,27,2,41,True
user_legit_09445,13373,48,3113,42,19,False
user_legit_06753,516,844,2925,206,58,False
user_legit_03501,32025,1830,1704,330,53,False
user_legit_02233,6908,1654,1123,404,111,False
user_legit_02802,49458,585,1978,105,50,False
user_legit_04423,22773,359,226,448,145,False
user_legit_05662,43025,1369,1075,177,55,False
user_legit_07169,45757,433,1789,314,142,False
user_legit_08336,19941,401,1395,183,66,False
user_legit_02147,46797,356,1480,39,9,False
user_legit_07968,457,1920,3158,235,11,False
user_legit_06550,27756,1572,2815,334,19,False
user_legit_07642,20870,1444,3185,333,37,False
user_legit_06163,5704,1375,676,161,15,False
user_legit_01494,20512,629,3074,495,94,False
user_legit_07695,35275,1302,2864,269,152,False
user_legit_07093,24009,1350,2289,469,105,False
user_legit_01408,86,1915,2342,472,199,False
user_legit_06690,22564,33,1745,95,28,False
user_legit_03400,40711,234,3240,100,29,False
user_legit_00108,23583,950,2376,186,94,False
user_legit_05635,29840,1271,1959,163,15,False
user_legit_08481,39152,1765,1998,145,61,False
user_legit_06603,15965,1505,2401,68,32,False
user_legit_01090,25150,1977,2537,331,154,False
user_legit_05559,6769,353,2407,419,79,False
user_legit_09411,14853,283,442,391,131,False
user_legit_08142,20162,186,233,337,161,False
user_legit_08663,46986,727,183,386,95,False
user_legit_06595,24854,1956,207,390,43,False
user_legit_00623,20850,330,1411,465,49,False
user_legit_06870,7563,236,380,38,21,False
user_legit_04813,27798,1713,2266,204,51,False
user_legit_06552,8987,1441,3220,420,161,False
user_legit_07529,2930,794,748,34,7,False
user_legit_05795,10208,776,1386,186,73,False
user_legit_07436,40514,1378,1336,143,9,False
user_legit_04217,17083,437,362,261,140,False
user_legit_05940,12773,856,630,380,193,False
user_legit_08500,13730,1456,3244,153,48,False
user_legit_06428,33681,981,2405,399,27,False
user_legit_06826,26924,620,3296,339,28,False
user_legit_04130,428,801,2537,246,120,False
user_legit_07801,7176,651,845,359,81,False
user_legit_07753,106,611,774,151,42,False
user_legit_04721,41536,1916,3475,184,106,False
user_legit_01650,9496,18,1918,238,38,False
user_legit_04140,36304,741,832,360,163,False
user_legit_01617,25369,1344,2575,439,248,False
user_legit_02029,17142,945,3357,86,39,False
user_legit_08517,47809,1395,727,201,76,False
user_legit_04575,38212,1479,1197,440,224,False
user_legit_03992,7021,740,3579,204,99,False
user_legit_07376,30300,823,2250,312,92,False
user_legit_06149,43455,1975,2228,136,28,False
user_legit_04908,39928,1752,972,459,118,False
user_legit_05026,12713,427,2075,283,67,False
user_legit_08260,31900,300,3577,320,148,False
user_legit_04731,34263,1793,2128,411,67,False
user_legit_07548,23460,728,832,154,36,False
user_legit_08134,36862,1102,403,79,32,False
user_legit_01606,7405,1238,3372,261,77,False
user_legit_04773,49359,280,3569,490,40,False
user_legit_08109,41411,1566,3386,373,104,False
user_legit_06951,21622,283,281,347,185,False
user_legit_06004,23373,397,582,4,1,False
user_legit_07728,11032,1244,1931,51,29,False
user_legit_03541,29016,1938,1185,91,43,False
user_legit_00388,44596,1868,3299,110,23,False
user_legit_01794,23907,1649,1553,198,18,False
user_legit_08731,5915,1692,482,163,85,False
user_legit_04919,26374,1250,782,271,87,False
user_legit_05537,42057,731,198,332,101,False
user_legit_03872,43237,63,1759,262,143,False
user_legit_08868,37311,462,2074,335,190,False
user_legit_02254,14761,885,2667,338,120,False
user_legit_03412,11112,1476,45,134,66,False
user_legit_05459,44646,1817,2236,474,208,False
user_legit_04955,9659,645,1726,97,21,False
user_legit_07396,24176,599,1652,63,30,False
user_legit_05414,15559,1253,65,360,174,False
user_legit_07399,21507,1586,1511,440,125,False
user_legit_07414,12054,604,2059,475,128,False
user_legit_09100,10967,592,2897,14,4,False
user_legit_04851,36287,21,1293,460,147,False
user_legit_02025,23644,1491,619,243,67,False
user_legit_02615,33450,1145,1091,125,25,False
user_legit_07388,11893,1844,2437,113,36,False
user_legit_02926,30826,1266,1142,325,79,False
user_legit_01121,4214,856,3228,463,108,False
user_legit_02910,5617,1688,3181,489,197,False
user_legit_08146,49974,1508,700,304,179,False
user_legit_07383,30017,622,3571,65,36,False
user_legit_03482,39778,1312,3125,360,145,False
user_legit_00795,14774,971,2914,418,62,False
user_legit_01575,15926,1217,3258,28,1,False
user_legit_06176,37282,681,1491,238,80,False
user_legit_06266,34610,1476,3122,166,97,False
user_legit_02458,23738,36,480,324,139,False
user_legit_03312,46498,1275,3083,442,178,False
user_legit_01253,39686,518,69,461,65,False
user_legit_06834,3211,1106,2188,483,201,False
user_legit_08794,22095,549,1719,416,71,False
user_legit_03837,29975,392,2981,130,17,False
user_legit_04398,3499,1675,1124,206,53,False
user_legit_03595,14498,1123,3201,166,25,False
user_legit_06621,46670,1296,2625,47,20,False
user_legit_08382,20605,287,2101,48,19,False
user_legit_02124,37278,1291,852,261,148,False
user_legit_03238,44149,252,3529,55,18,False
user_legit_05403,26641,635,2750,413,182,False
user_legit_05998,37646,1142,2129,22,3,False
user_legit_05938,49625,919,2769,159,72,False
user_legit_02045,49590,493,99,34,16,False
user_legit_01578,5657,1488,1942,457,44,False
user_legit_00014,35876,1269,2533,402,61,False
user_legit_02673,9388,988,1278,51,6,False
user_legit_07016,30572,1332,1131,491,122,False
user_legit_08720,35517,1364,399,432,206,False
user_legit_08849,29614,1806,2445,480,243,False
user_legit_04812,26341,760,829,21,1,False
user_legit_01084,10032,1088,1258,283,167,False
user_legit_04983,20112,586,959,323,182,False
user_legit_07155,12841,1140,2859,220,80,False
user_legit_02884,17773,1758,3554,340,81,False
user_legit_00333,41491,1500,3526,429,117,False
user_legit_07204,220,1462,3308,326,160,False
user_legit_04367,7113,1396,3513,452,135,False
user_legit_03079,22417,1782,3098,392,195,False
user_legit_07203,6509,1766,636,319,35,False
user_bot_00409,1,1117,24,9,329,True
user_legit_08864,40034,1230,212,492,84,False
user_legit_00263,46256,1197,3536,212,48,False
user_legit_04337,16397,567,1681,218,17,False
user_legit_08895,24473,498,113,336,129,False
user_legit_08447,7649,122,2736,256,44,False
user_legit_05903,38836,1061,3057,35,17,False
user_legit_01498,23366,1110,2296,370,62,False
user_legit_04190,21465,1576,3293,186,50,False
user_legit_07485,42826,814,3620,336,18,False
user_bot_00143,0,2185,25,19,635,True
user_legit_08310,2679,1432,2192,271,98,False
user_legit_07590,5955,1059,3410,231,77,False
user_legit_00500,5695,684,898,120,66,False
user_legit_09155,3962,128,1315,202,105,False
user_legit_09414,25049,82,530,81,29,False
user_legit_03095,37591,1292,1654,358,131,False
user_legit_04631,14380,1622,2652,339,150,False
user_legit_00367,15803,509,1079,438,237,False
user_legit_04058,10271,1008,1932,69,8,False
user_legit_08174,1127,568,815,64,3,False
user_legit_04630,7402,259,3425,279,76,False
user_legit_06070,6452,1715,1976,293,57,False
user_legit_02664,10750,242,532,229,33,False
user_legit_01026,3891,1750,364,182,43,False
user_legit_05908,39782,72,2609,150,29,False
user_legit_05050,21717,471,1965,34,6,False
user_legit_06328,3892,1841,461,267,33,False
user_bot_00233,1,4844,20,12,555,True
user_legit_01691,44483,1270,3063,478,66,False
user_legit_00673,4763,1570,646,365,62,False
user_legit_05572,11946,1232,1084,82,46,False
user_legit_05766,15451,1253,3613,409,105,False
user_legit_05156,46454,290,693,83,37,False
user_legit_00733,38718,1206,32,180,103,False
user_legit_03526,6667,420,240,100,44,False
user_legit_00568,32131,624,454,464,267,False
user_legit_09187,10144,408,2403,62,10,False
user_legit_02922,6191,984,3455,19,9,False
user_legit_07911,29671,845,2089,178,104,False
user_legit_01558,49759,1767,3039,161,66,False
user_legit_00101,10003,879,3357,478,132,False
user_legit_03007,21259,720,3536,269,152,False
user_legit_07201,14348,1808,157,235,35,False
user_legit_00303,44809,584,2929,140,77,False
user_legit_00076,16516,707,905,229,66,False
user_legit_06754,32930,1559,770,419,180,False
user_legit_08629,163,398,1898,302,63,False
user_legit_01208,14243,1560,2978,216,39,False
user_legit_07742,42146,368,3207,401,20,False
user_legit_08214,2517,34,2463,491,259,False
user_legit_08944,968,158,1159,197,13,False
user_legit_08413,9511,1349,252,374,97,False
user_legit_01775,6564,1425,2207,125,67,False
user_legit_03473,44286,516,1618,362,49,False
user_legit_00483,39842,1711,1419,352,184,False
user_legit_02189,29302,929,2934,259,120,False
user_legit_00346,49569,1148,2038,125,60,False
user_legit_05481,4664,1894,2469,207,50,False
user_legit_08361,36290,1224,671,317,71,False
user_legit_01472,22469,1551,2280,356,78,False
user_legit_05100,27511,428,1406,477,106,False
user_legit_06765,46120,1602,1183,90,15,False
user_legit_08706,29312,516,2679,401,177,False
user_legit_04929,11094,1632,946,56,16,False
user_legit_06329,30044,1801,751,329,144,False
user_legit_02609,41341,65,2021,340,106,False
user_legit_00003,21949,1064,2334,118,24,False
user_legit_02213,5794,1166,1381,3,0,False
user_legit_04827,26876,1598,1003,255,74,False
user_legit_00856,12251,43,802,490,217,False
user_legit_06977,10440,1340,2302,233,76,False
user_legit_05885,40745,822,1593,132,19,False
user_legit_00624,30212,1814,2473,347,17,False
user_legit_00290,40381,409,2808,484,34,False
user_legit_02018,35981,45,1964,416,94,False
user_legit_00668,45947,1715,119,232,104,False
user_legit_08921,21051,1891,3396,247,115,False
user_legit_08264,2512,1605,1059,106,41,False
user_bot_00196,0,2066,10,9,122,True
user_legit_01631,44866,501,3101,323,111,False
user_legit_05170,30103,1862,636,254,67,False
user_legit_07205,25065,1617,1519,115,20,False
user_legit_02522,10506,1941,3530,381,114,False
user_legit_02215,19509,1032,3411,154,69,False
user_legit_06968,27368,1832,3634,174,33,False
user_legit_06496,30624,406,2841,129,13,False
user_legit_06213,16580,401,2314,292,65,False
user_legit_07032,45821,1223,3178,91,40,False
user_legit_07420,35816,78,252,86,9,False
user_legit_01107,45356,677,1523,35,14,False
user_legit_00450,48014,826,3320,30,14,False
user_legit_06289,41352,773,1533,290,142,False
user_bot_00466,1,1523,3,18,538,True
user_legit_00135,15204,1006,2964,360,174,False
user_legit_01785,12187,1570,2116,24,7,False
user_legit_03404,19619,1847,3107,342,92,False
user_legit_02906,31247,989,1913,116,15,False
user_legit_08304,16503,360,98,24,2,False
user_legit_07492,10182,34,619,84,13,False
user_legit_06100,10340,1935,1356,65,21,False
user_legit_04504,851,1035,2653,495,282,False
user_legit_05053,45672,790,3303,337,39,False
user_legit_05205,22842,1906,1538,27,15,False
user_legit_04080,45195,705,3338,260,94,False
user_legit_06918,3954,584,2735,219,116,False
user_legit_06802,26381,448,78,378,201,False
user_legit_05206,35283,1397,1498,28,8,False
user_legit_00532,7801,1715,3554,146,52,False
user_legit_04830,17430,130,2686,105,15,False
user_legit_04038,15313,543,2044,34,2,False
user_legit_04084,25089,158,1241,324,29,False
user_legit_03204,14977,213,3243,91,10,False
user_legit_07110,1986,1668,1823,243,46,False
user_legit_00330,27344,139,3132,498,224,False
user_legit_04957,18675,391,935,438,158,False
user_legit_03033,5545,158,1900,3,0,False
user_legit_07684,25714,776,543,241,51,False
user_legit_01597,36261,1345,2140,330,104,False
user_bot_00419,3,2881,19,4,107,True
user_legit_03597,27718,1446,2689,450,250,False
user_legit_09038,49015,612,965,9,4,False
user_legit_08001,35807,1448,3031,131,32,False
user_legit_00590,40036,310,798,497,35,False
user_legit_00647,26776,1016,1654,115,25,False
user_legit_09102,23813,1739,1403,271,152,False
user_legit_08015,7631,340,2860,265,60,False
user_legit_03771,16540,533,941,355,34,False
user_legit_09039,12270,1746,3000,435,192,False
user_legit_05082,10,417,2520,297,104,False
user_legit_07882,46367,1144,780,468,220,False
user_legit_09362,46962,1431,2741,42,6,False
user_legit_04210,7560,59,2883,267,73,False
user_legit_08834,46924,867,1104,424,123,False
user_legit_08699,41617,1940,916,183,93,False
user_legit_01795,10112,171,1465,480,117,False
user_legit_02586,18497,1644,3384,194,61,False
user_legit_08355,49292,1925,1227,468,152,False
user_legit_02316,4350,1164,2638,70,16,False
user_legit_04185,28601,1448,3291,160,33,False
user_legit_08827,7541,1160,400,333,71,False
user_legit_07072,30389,298,3061,214,14,False
user_legit_05234,18826,1672,1216,121,28,False
user_legit_08743,5950,1920,1569,407,201,False
user_legit_08670,33946,37,1239,202,53,False
user_legit_04768,5684,60,2786,401,110,False
user_bot_00472,4,4809,15,5,87,True
user_legit_07144,11663,1863,2704,281,16,False
user_legit_02913,11304,797,3460,301,163,False
user_bot_00371,0,2936,7,19,773,True
user_bot_00393,2,980,15,11,437,True
user_legit_02075,20413,1631,2837,78,10,False
user_legit_04302,6679,1561,2743,473,89,False
user_legit_05822,43617,342,373,5,2,False
user_legit_02149,42700,738,2991,462,25,False
user_legit_00144,49633,951,1469,376,161,False
user_legit_04963,11749,451,874,266,132,False
user_legit_08159,22540,1901,1045,166,47,False
user_legit_09030,11452,353,2102,9,2,False
user_legit_04775,2253,473,419,404,22,False
user_legit_08933,8284,1962,1558,251,36,False
user_legit_07749,49952,692,3417,251,31,False
user_bot_00328,5,4596,8,15,582,True
user_legit_09214,44725,138,1887,486,199,False
user_legit_06060,23461,163,3197,83,43,False
user_legit_09475,2486,1026,2149,172,54,False
user_legit_06409,46412,1676,1413,136,77,False
user_legit_03317,19965,1301,699,188,80,False
user_legit_07464,22405,1153,2708,463,190,False
user_legit_03061,15423,1541,1397,10,2,False
user_legit_01355,24850,1636,2681,404,40,False
user_legit_04514,45593,246,1121,425,49,False
user_legit_05505,41870,384,2782,96,52,False
user_legit_05250,7470,1322,699,270,93,False
user_legit_04511,26103,914,2459,397,174,False
user_legit_01730,38936,1744,2801,437,213,False
user_legit_01758,28574,1287,2072,39,7,False
user_legit_06650,10023,202,3627,10,4,False
user_legit_06646,7097,747,2328,367,151,False
user_bot_00360,5,3193,10,11,117,True
user_legit_04139,25232,1938,2177,168,20,False
user_legit_09393,20016,1089,718,341,105,False
user_legit_05123,33918,567,2699,468,263,False
user_legit_00000,4471,1841,1640,51,2,False
user_legit_01864,41761,1727,2296,334,39,False
user_legit_00543,8740,1681,2724,151,54,False
user_legit_00349,8238,954,1485,108,53,False
user_legit_06906,1512,1407,2996,327,40,False
user_bot_00265,1,1938,14,14,542,True
user_legit_02523,20069,1409,2513,301,178,False
user_legit_03464,17998,1982,2042,120,15,False
user_legit_00457,31702,1625,2227,24,13,False
user_legit_03023,9937,285,3117,496,285,False
user_legit_07261,5328,998,2397,217,88,False
user_bot_00015,2,889,30,16,705,True
user_legit_07872,22432,816,2436,257,86,False
user_legit_06625,27307,1092,158,439,29,False
user_legit_02534,40069,896,1885,64,19,False
user_legit_00131,27683,41,2045,42,21,False
user_legit_03704,47224,1996,2931,36,16,False
user_legit_01372,22491,1018,2536,41,7,False
user_legit_06200,46920,520,1162,242,23,False
user_legit_04856,42299,1961,1987,22,6,False
user_legit_04712,44325,1908,2925,94,36,False
user_legit_05544,10948,81,3365,206,74,False
user_legit_01413,39600,364,1881,85,48,False
user_legit_04113,48902,1057,768,260,60,False
user_legit_00655,26640,307,1826,38,16,False
user_legit_08137,45505,1553,1429,175,23,False
user_legit_04098,39688,1904,959,477,184,False
user_legit_00592,12001,1202,2939,361,77,False
user_legit_08708,24634,1151,1925,134,23,False
user_legit_03123,30679,1693,2117,312,30,False
